,id,text,sentiment,Pred,Pred_polarity
0,35987ef851,Got a deadline to meet!!! No TGIF for me,0,0.5732,1.0
1,a429255434,G`day  Thanx for following.,1,0.0,0.0
30,01818a5856,Thanking god for after elton for allowing me to see the new TW trailer since work blocked youtube and lj,1,0.0,0.0
33,20bf40e9ad,http://twitpic.com/4jalj - Morning world. #healthyliving update. Weight this morning 82.1kg (12st 12lbs) Going in right direction,1,0.0,0.0
45,b4f2077ad6,Want to get a Blackberry but can`t afford it  . Just watching the telly and relaxing. Hard sesion tomorrow.,0,0.5927,1.0
48,f1b5074e93," NOOOO I`ll miss you too much!  I went stag to my prom and all the high school and middle school dances, if that helps. >_>",0,0.3164,1.0
49,40af425098,how sad. last entrance 2cal academy of science was at 4pm. and it was zipcode free day too.,1,0.0516,0.0
53,7d2f8e5e7a,Had a blood test today.   Wasn`t too bad really. Needed to dash 2 Starbucks after to revive my spirits with a nice Iced latte & a bun.Yum!,1,0.2481,0.0
54,99e110f2b5, thankyou  how is ur night?,1,0.0,0.0
66,4f05a05989,Thinks FML should changed to LML (love my life),1,0.0,0.0
68,0e3d04ed05," I am in Weirton Julie, way up North at the tippy top! LOL we don`t think southern WV folks like us too much.",0,0.7978,1.0
77,7022d4bbbc, clearly need to crack the whip some more,0,0.4019,1.0
82,40b7185d99,"Early Monday,great  Rainy Monday,not so great :|",0,0.5291,1.0
85,6aae1e173b, how is Aussie...im hopin to be there in Sydney in less than a week just got my VISA on thursday whoot whoot,1,0.0,0.0
96,960bbdc0c3,goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,1,0.0,0.0
141,b65aae7c39,"I`m Twitter dumb. Just saw my '.com' & all the kind folks who`ve tweeted me. AH!So sorry, I`m not ignoring you, just SLOW.",0,0.3291,1.0
145,ef4c6bf83e,can`t wait for Daughtry`s new album! Ack. Two more months!!!,1,0.0,0.0
159,c126f1966a,"I need a restful weekend, but I will have to work instead",1,0.1901,0.0
168,352b05a450," i miss you too; i need to talk to you, i keep screwing up ..  lovee u !",1,-0.4199,0.0
171,5f72b7df41,Now have windows 7 up and running....very very happy  it`s got sum wicked new features http://bit.ly/jyWnz,1,0.1513,0.0
180,e41ae07da9,Twitter is useful in that it reminds people what they forgot to ask me about on a given day. It is also excellent for inspiration,0,0.875,1.0
193,f3d710af24," I need a hug because our pitching has been lackluster, our shortstops can`t field & Big Papi can`t get above the Mendoza line.",0,0.4767,1.0
205,21deaed5d9," woop rehearsing songs  Yep, sounds even enough to me",1,0.296,0.0
206,5c364e985e,happpppy mothers day,1,0.0,0.0
213,91b3ebad65,"_music im always blunt with my feelings, never seems to do any good",0,0.4404,1.0
220,bfbd1996de, I envy everyone on AOTS...,1,-0.2732,0.0
221,93e3c08b4d,"I don`t want to lose my wisdom teeth, they make me wise. I will soon be without a trace of wisdom",0,0.8176,1.0
