,Sentence,Polarity,Pred,Pred_polarity
7,I couldn't take them seriously.  ,0,0.1326,1.0
20,It just blew.  ,0,0.0,1.0
26,"I wish I could enter negative values, admins?  ",0,0.1027,1.0
39,"Yes, I am simplifying things here for the sake of brevity, for this really is at the core of the problems with this film - it has too much going on without any real, fulfilling explanation.  ",0,0.0,1.0
50,"Wow, what a bad film.  ",0,0.0772,1.0
51,"Not frightening in the least, and barely comprehensible.  ",0,0.3875,1.0
53,Not even good for camp value!  ,0,-0.0015,1.0
54,"I wasn't expecting Oscar material, but this?  ",0,0.0,1.0
57,If only someone involved with it knew how to string together narrative!  ,0,0.0,1.0
58,"This gets a 1 out of 10, simply because there's nothing lower.  ",0,0.2057,1.0
62,"Considering the relations off screen between Taylor and Stanwyck, it was surprising how little chemistry there was on screen between the two of them.  ",0,0.2732,1.0
69,"A cheap and cheerless heist movie with poor characterisation, lots of underbite style stoic emoting (think Chow Yun Fat in A Better Tomorrow) and some cheesy clichés thrown into an abandoned factory ready for a few poorly executed flying judo rolls a la John Woo.  ",0,-0.0516,1.0
71,At no point in the proceedings does it look remotely like America.  ,0,0.0772,1.0
74,"I was very uneasy with how bad this movie was, but not scared at all.  ",0,0.0633,1.0
75,The dialogue is composed of things that make little sense.  ,0,0.0,1.0
77,The directing is sloppy at best.  ,0,0.6369,1.0
80,The acting by the whole cast could be put on a scale and balanced perfectly between overacting and underacting.  ,0,0.6369,1.0
81,"And, FINALLY, after all that, we get to an ending that would've been great had it been handled by competent people and not Jerry Falwell.  ",0,0.7506,1.0
99,Later I found myself lost in the power of the film.  ,1,-0.4019,0.0
105,About ten minutes into this film I started having second thoughts.  ,0,0.0,1.0
107,"By the time the film ended, I not only disliked it, I despised it.  ",0,-0.0557,1.0
108,What this film lacks is a convincing script.  ,0,0.1027,1.0
109,The script looks as if only a rough draft was written and shooting began before a finished script was completed.  ,0,0.0,1.0
120,It is zillion times away from reality.  ,0,0.0,1.0
121,Watching washing machine twirling around wouldn't hurt your eyes as much as this show.  ,0,0.4168,1.0
124,"Full of unconvincing cardboard characters it is blandly written by Edward Chodorov, who also produced, and is surprisingly directed by Jean Negulesco from whom one would expect a great deal more.  ",0,0.743,1.0
125,From here on the Widmark character turns unintentionally comical!  ,0,0.0,1.0
127,And if that isn't enough of a mess of a movie for you - the picture is also marred with a constant use of studio sets and indoor exteriors.  ,0,0.2755,1.0
128,Whatever prompted such a documentary is beyond me!  ,0,0.0,1.0
139,i wouldnt see this movie again for free.  ,0,0.5106,1.0
141,This second appearance of Mickey Mouse (following the silent PLANE CRAZY earlier that year) is probably his most famous film--mostly because it was so ground-breaking.  ,1,-0.4824,0.0
150,I don't think there are any redeeming qualities in this remake.  ,0,0.0,1.0
154,It's a shame to see good actors like Thomerson and James make a living in a mess like this.  ,0,0.3182,1.0
156,"Both films are terrible, but to the credit of the 1986 version, it was watchable.  ",0,0.3291,1.0
163,The film looks cheap and bland.  ,0,0.0,1.0
165,"This convention never worked well in the past, and certainly doesn't work here.  ",0,0.1496,1.0
167,The CG opening sequence in space looked like it could have been created on Microsoft Slideshow for God's sake!  ,0,0.6908,1.0
176,"Lewis Black's considerable talent is wasted here too, as he is at his most incendiary when he is unrestrained, which the PG-13 rating certainly won't allow.  ",0,0.1862,1.0
178,"With the originality and freshness of the first movie now spent, this remake had little else to offer.  ",0,0.0,1.0
180,"This was reflected not only in the cast, but also in the below-par script, which borrowed much from the earlier classic.  ",0,0.0,1.0
182,Filmiing was less expansive.  ,0,0.0,1.0
183,It failed to convey the broad sweep of landscapes that were a great part of the original.  ,0,0.4404,1.0
188,"Even when the women finally show up, there is no sign of improvement; the most expected things happen and by the time the film is over, you might be far asleep.  ",0,0.2023,1.0
189,"Beware: this is not a trashy cult movie, this is trash -period!  ",0,0.0,1.0
190,I can't believe there's even a sequel to this!  ,0,0.0,1.0
199,"Her lines seem to have been WRITTEN by a fifteen year old, though they are trying oh so, so hard to sound like how a fifteen year old would really, um, you know, well... talk.  ",0,0.3369,1.0
204,"To be honest with you, this is unbelievable nonsense and very foolish.  ",0,0.0018,1.0
205,"In conclusion, I will not bother with this movie because a volcano in Los Angeles is nothing but nonsense.  ",0,0.5275,1.0
208,And the accents are absolutely abysmal!  ,0,0.0,1.0
209,There's also enough hypocrisy in this film to make me vomit.  ,0,0.0,1.0
210,Don't waste your time watching this rubbish non-researched film.  ,0,0.3252,1.0
214,Omit watching this.  ,0,0.0,1.0
216,My rating: just 3 out of 10.  ,0,0.0,1.0
233,"I know that Jim O'Connor was very energetic and that nobody could be as much as him, but George was well dull.  ",0,0.0507,1.0
234,"He really didn't seem to want to be hosting; his voice-overs were monotonous, didn't get involved with the guests.  ",0,-0.0572,1.0
235,"Lovely little thriller from Hitchcock, with lots of nice shenanigans surrounding a murdered spy, a kidnapped child, a nasty church, a foreign plot and some random taxidermists.  ",1,-0.3804,0.0
236,"Jimmy Stewart is as ever a great hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.  ",1,-0.3506,0.0
247,The least said about the acting the better.  ,0,0.2732,1.0
250,Nothing short of magnificent photography/cinematography in this film.  ,1,-0.4847,0.0
252,Don't be afraid of subtitles........ its worth a little aversion therapy 10/10  ,1,-0.1796,0.0
258,"Helen Baxendale is a very credible lady Macbeth who can be very cheerfull at times and sometimes she just looks like a naughty girl, but deadly in her taste for blood and evil.  ",1,-0.7469,0.0
259,"If you love death and decay, and Shakespears lyrics... this is the one.  ",1,-0.34,0.0
264,"Even allowing for poor production values for the time (1971) and the format (some kind of mini-series), this is baaaaaad.  ",0,0.0516,1.0
265,"Unless you're just out to visually ""collect"" all extant films of Austen's work, you can skip this one.  ",0,0.0,1.0
268,"Speaking of the music, it is unbearably predictably and kitchy.  ",0,0.0,1.0
281,"The film gives meaning to the phrase, ""Never in the history of human conflict has so much been owed by so many to so few.  ",1,-0.3182,0.0
304,DELETE this film from your mind!  ,0,0.0,1.0
